OBJECTID,StopAbbr,StopName,FacingDir,Lighting,ADA_ACCESS,BASE,Route_List,Municipality,County,Ons_Dec19,OFFs_Dec19,Position,LIFT,CURB,CURB_CUT,SIDEWALK,Stop_Type,Latitude,Longitude,Census_2010_Tracts_GA_GEOID10,Census_2010_Tracts_GA_NAMELSAD10,Census_2010_Tracts_GA_INTPTLAT10,Census_2010_Tracts_GA_INTPTLON10,NoCarPercentage19,MedHHI19,TotPop19,PerCapitaInc19,Missing Amenities,Shelter,PossibiltyOfAmentity,Notes,NSA,NSANoCar,NSAPop,NSAInc
4,212195,CONLEY RD SE @ 925,E,1,N,DIRT,55,Atlanta,Fulton,3.115637,1.140413,AT,Y,Y,N,N,Sign,33.650083,-84.359553,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7, ADA_Access Sidewalk,0,1,Space,T04,34.9,5026,34778
8,212196,FORREST PARK RD SE @ CONLEY RD SE,NE,1,N,DIRT,55,Atlanta,Fulton,16.880733,3.145009,FS,N,Y,N,N,Sign,33.65071,-84.357892,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7, ADA_Access Sidewalk,0,1,"Obstacles, Private Property",M01,22.6,16557,48855
42,212200,FORREST PARK RD SE @ PINE FOREST DR SE,N,1,Y,DIRT,55,Atlanta,Fulton,23.037409,4.418463,FS,Y,Y,Y,Y,Sign,33.659807,-84.355474,13121007200,Census Tract 72,33.6563757,-84.3609353,16.2,27083,2136,14787.7,  ,0,1,ROW,M01,22.6,16557,48855
76,212207,HUTCHENS RD SE @ KING SMITH RD SE,NW,1,N,DIRT,55,Atlanta,Fulton,16.233342,1.002156,NS,Y,Y,N,Y,Sign,33.669525,-84.367673,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5, ADA_Access ,0,1,ROW,M01,22.6,16557,48855
84,212209,HUTCHENS RD SE @ JONESBORO RD SE,NW,1,Y,DIRT,55,Atlanta,Fulton,27.535385,5.654315,NS,Y,Y,Y,Y,Sign,33.672021,-84.371878,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5,  ,0,1,Space,M01,22.6,16557,48855
86,212628,STONE RD SW @ N CAMP CREEK PKY SW,SE,1,N,DIRT,66,Atlanta,Fulton,10.531876,1.768674,NS,Y,Y,N,N,Sign,33.67255,-84.500602,13121007706,Census Tract 77.06,33.6739956,-84.522794,21.7,45101,9597,29083.5, ADA_Access Sidewalk,0,1,"Space, Improvements",M01,22.6,16557,48855
87,159014,EMPIRE BLVD SW @ MT ZION RD SW,N,1,Y,CONC,178,Atlanta,Fulton,152.651287,40.32083,NS,Y,Y,Y,Y,MARTA Shelter,33.672592,-84.393394,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5,  ,1,1,Few,M01,22.6,16557,48855
135,159123,CLEVELAND AVE SE @ 365,W,1,Y,CONC,78,Atlanta,Fulton,42.483435,30.389895,OP,Y,Y,N,Y,MARTA Shelter,33.680621,-84.378063,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5,  ,1,1,Few,M01,22.6,16557,48855
136,159392,CLEVELAND AVE SE @ 445,W,1,N,CONC,78,Atlanta,Fulton,132.48523,0.094987,OP,Y,Y,N,N,MARTA Shelter,33.680699,-84.375078,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5, ADA_Access Sidewalk,1,1,Few,M01,22.6,16557,48855
141,159296,CLEVELAND AVE @ JONESBORO RD,W,1,Y,CONC,78,Atlanta,Fulton,68.141944,24.800185,FS,Y,Y,Y,Y,Other Shelter,33.680822,-84.368114,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5,  ,0,1,ROW,M01,22.6,16557,48855
143,211328,OLD HAPEVILL RD @ CLEVELAND AVE,N,1,Y,CONC,178,Atlanta,Fulton,30.501861,49.939123,NS,Y,Y,Y,Y,MARTA Shelter,33.680983,-84.393609,13121007300,Census Tract 73,33.6715465,-84.3791814,19.6,32044,6824,19671.5,  ,1,1,Few,M01,22.6,16557,48855
149,137038,METROPOLITAN PKY SW@CLEVELAND AVE S,N,1,Y,DIRT,95,Atlanta,Fulton,96.255751,39.114686,NS,Y,Y,Y,Y,Sign,33.681059,-84.40758,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0,1,Space,M01,22.6,16557,48855
150,159128,CLEVELAND AVE SE @ BROWNS MILL RD SE,W,1,Y,DIRT,78,Atlanta,Fulton,30.996615,14.394973,FS,Y,Y,Y,Y,Sign,33.681074,-84.384732,13121007001,Census Tract 70.01,33.6915165,-84.3868055,25,29528,4539,14048.4,  ,0,1,Few,M01,22.6,16557,48855
152,159302,CLEVELAND AVE SW @ MACON DR SW,W,0,Y,CONC,78,Atlanta,Fulton,47.749817,7.130489,NS,Y,Y,Y,Y,Sign,33.68116,-84.388657,13121007001,Census Tract 70.01,33.6915165,-84.3868055,25,29528,4539,14048.4,Lighting  ,0,1,ROW,M01,22.6,16557,48855
153,158310,CLEVELAND AVE SW @ METROPOLITAN PKWY,E,1,Y,CONC,78,Atlanta,Fulton,104.634969,242.841985,NS,Y,Y,Y,Y,MARTA Bench,33.68118,-84.40826,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0,1,Few,M02,19.1,15395,61781
155,149030,CLEVELAND AVE SW @ OLD HAPEVILLE RD SW,W,1,Y,CONC,78,Atlanta,Fulton,153.156681,11.625427,NS,Y,Y,Y,Y,MARTA Shelter,33.681186,-84.393484,13121007001,Census Tract 70.01,33.6915165,-84.3868055,25,29528,4539,14048.4,  ,1,1,Few,W01,9.8,8065,88277
159,158316,CLEVELAND AVE SW @ BEELER DR SW,W,1,Y,CONC,78,Atlanta,Fulton,127.207402,17.641469,NS,Y,Y,Y,Y,MARTA Shelter,33.681263,-84.401062,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,1,1,Few,M01,22.6,16557,48855
164,158322,CLEVELAND AVE SW @ METROPOLITAN PKWY SW,W,1,Y,CONC,78,Atlanta,Fulton,232.153568,97.619474,NS,Y,Y,Y,Y,MARTA Bench,33.681346,-84.407551,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0,1,Few,O03,15.3,4400,67889
167,158323,CLEVELAND AVE@650,W,1,Y,DIRT,78,Atlanta,Fulton,0,0,OP,Y,Y,Y,Y,Sign,33.68146,-84.41009,13121007400,Census Tract 74,33.6789102,-84.4070935,40,19740,3412,12112.3,  ,0,1,Improvements,O01,14.1,4845,70047
172,211203,OLD HAPEVILLE RD SW@2672,N,1,Y,DIRT,178,Atlanta,Fulton,16.260747,1.897302,AT,Y,Y,Y,Y,Sign,33.68208,-84.394062,13121007001,Census Tract 70.01,33.6915165,-84.3868055,25,29528,4539,14048.4,  ,0,1,"Space, Improvements",O02,9.2,6487,90488
188,210501,GREENBRIAR PKWY SW @ 3378,E,1,Y,CONC,83;183,Atlanta,Fulton,114.861403,10.161601,AT,Y,Y,Y,Y,MARTA Shelter,33.683991,-84.500573,13121007706,Census Tract 77.06,33.6739956,-84.522794,21.7,45101,9597,29083.5,  ,1,1,Few,O02,9.2,6487,90488
203,211650,JONESBORO RD SE @ 2491,S,1,Y,DIRT,55;78,Atlanta,Fulton,35.912852,34.086471,AT,Y,Y,Y,Y,Sign,33.685335,-84.364793,13121007002,Census Tract 70.02,33.6920888,-84.36821,5.5,45451,2651,20640.7,  ,0,1,Sign Missing,O02,9.2,6487,90488
216,145334,GREENBRIAR PKWY SW @ CONTINENTAL COLONY PKWY SW,E,1,Y,CONC,83;183,Atlanta,Fulton,102.264374,28.907295,NS,Y,Y,Y,Y,Other Bench,33.686314,-84.49153,13121007705,Census Tract 77.05,33.683153,-84.4909911,27.5,25906,4043,18419.6,  ,0,1,Few,O01,14.1,4845,70047
